n_queries,found_rate,fallback_rate,median_latency_ns,mean_latency_ns,p95_latency_ns,throughput_qps,mean_pred_error,p95_pred_error,max_pred_error,mean_window_size,max_window_size,mean_steps,p95_steps,threshold,model_max_error,retrain_count
5000,1.0,0.9996,4300.0,4558.78,5500.0,219356.93321458812,1103.1328,2324.0,2422.0,2.9314,3.0,16.9254,17.0,0,2423,1
5000,1.0,0.9958,4400.0,4511.28,4800.0,221666.5780000355,1103.1328,2324.0,2422.0,31.9002,33.0,20.868,21.0,16,2423,1
5000,1.0,0.975,4500.0,4594.36,5000.0,217658.1721937332,1103.1328,2324.0,2422.0,124.5456,129.0,22.5542,23.0,64,2423,1
5000,1.0,0.8912,4600.0,4754.86,6500.0,210311.1342920717,1103.1328,2324.0,2422.0,494.2928,513.0,23.2902,25.0,256,2423,1
5000,1.0,0.5012,4400.0,4261.8,4900.0,234642.6392604064,1103.1328,2324.0,2422.0,1960.2854,2049.0,19.4124,27.0,1024,2423,1
5000,1.0,0.0,3800.0,4118.76,7100.0,242791.5197777972,1103.1328,2324.0,2422.0,4572.3868,4847.0,12.8686,13.0,4096,2423,1
5000,1.0,0.0,3800.0,3861.04,4000.0,258997.57578269066,1103.1328,2324.0,2422.0,4572.3868,4847.0,12.8686,13.0,16384,2423,1
5000,1.0,0.0,3900.0,3919.36,4100.0,255143.69693011104,1103.1328,2324.0,2422.0,4572.3868,4847.0,12.8686,13.0,40000,2423,1
